,name,area,aspect,centre,circularness,fill,number of children,rgb_area,rgb_aspect,rgb_centre,rgb_circularness,rgb_fill,rgb_average,median_height,mean_height
4,ball,507,1,"(116.15789794921875, 39.842105865478516)",0.8627686937,0.8112,1,858,0.8823529412,"(115.7406234741211, 38.853126525878906)",0.8656450078,0.8411764706,"[183.15969162995594, 123.2114537444934, 192.5055066079295]",0.1953594089,0.2017398477
0,mug,1172,0.8538133812,"(130.5, 136.0)",0.6153503921,0.7359497645,1,1069,0.8947368421,"(131.5, 132.0)",0.6774918231,0.8273993808,"[191.83953900709218, 187.24024822695034, 193.72251773049646]",0.1092639491,0.136482805
1,ball,514,0.9235481452,"(33.0, 36.41666793823242)",0.8528391834,0.8184713376,1,869,0.9393939394,"(33.5, 36.5)",0.8630522154,0.8494623656,"[181.78672470076171, 120.40369967355822, 191.069640914037]",0.1678596437,0.1800345629
2,tape,1883,0.9803087265,"(68.15436553955078, 152.14230346679688)",0.9146653895,0.8415642458,1,2320,1,"(69.0718765258789, 150.34054565429688)",0.9341270875,0.8259166963,"[144.54041666666666, 135.52666666666667, 144.65458333333333]",0.2367786765,0.2125608474
3,banana,988.5,0.4032573383,"(94.5, 77.5)",0.2329860272,0.4478930675,1,1828.5,0.4923273152,"(94.61518096923828, 76.90314483642578)",0.3593360185,0.583067602,"[208.85069984447901, 130.82944530844998, 196.01088646967341]",0.1139689386,0.109458603
4,torch,331.5,0.0964425029,"(107.0, 22.5)",0.1084192736,0.8804780876,0,1437.5,0.377885673,"(107.0, 24.934782028198242)",0.3841164271,0.800389755,"[165.36315789473684, 166.06118421052631, 168.82236842105263]",0.0609445125,0.0788565427
0,mug,1131,0.9451163279,"(51.878150939941406, 150.9033660888672)",0.6615203267,0.7266302602,1,1258.5,0.7211102551,"(55.277862548828125, 156.68373107910156)",0.5710286496,0.6404580153,"[186.13278319579894, 180.0112528132033, 188.23780945236308]",0.103636995,0.1315638572
1,ball,488.5,0.9205307103,"(93.60650634765625, 85.75444030761719)",0.8684589242,0.8244725738,1,843,0.96875,"(94.0, 85.0)",0.9065274645,0.8497983871,"[179.56614349775785, 118.23430493273543, 187.89910313901345]",0.1572330892,0.1606891155
2,tape,1903,0.9831228877,"(132.19161987304688, 129.4775390625)",0.9291101832,0.8063559322,1,2647.5,0.8852459016,"(135.56643676757812, 128.28321838378906)",0.8221251046,0.8037340619,"[150.20979532163742, 143.80445906432749, 150.31652046783626]",0.2323991954,0.205853194
3,banana,1026.5,0.3831733866,"(46.0, 60.5)",0.2340149477,0.4796728972,1,1966,0.5059492852,"(51.5, 63.0)",0.3967627829,0.6236320381,"[202.65150048402711, 129.83881897386254, 192.10358180058083]",0.0784138665,0.0849841088
4,torch,341.5,0.1137392219,"(114.0, 46.5)",0.1118047168,0.8349633252,0,1340,0.3728881242,"(110.0, 41.0)",0.3645579589,0.7714450202,"[150.54954321855234, 149.33731553056921, 152.9747013352073]",0.0589463376,0.0743323117
0,mug,1136.5,0.8924862979,"(33.5, 114.5)",0.67428906,0.7360751295,1,1271,0.8837209302,"(43.03658676147461, 112.5)",0.7906131093,0.7778457772,"[194.32132132132134, 188.70045045045046, 196.26951951951952]",0.1014615893,0.1313954592
1,torch,252.5,0.1343523037,"(123.33613586425781, 159.93276977539062)",0.1464384657,0.8767361111,0,1145.5,0.3732884438,"(115.36538696289062, 158.66346740722656)",0.2975579067,0.6798219585,"[170.98128559804718, 171.85435313262815, 172.74776240846217]",0.0671440661,0.0901437774
